G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 29-114,PHI,, BOS, W (+14), 0, 16:57,0,3, .000, 0,2,.000,3,4,.750, 1,5,6,0, 0, 0,3,5, 3
2, 2019-10-26, 29-117,PHI,@, DET, W (+6), 0, 11:56,3,4, .750, 0,1,.000,3,4,.750, 1,2,3,1, 0, 0,0,1, 9
3, 2019-10-28, 29-119,PHI,@, ATL, W (+2), 0, 8:01,1,3, .333, 1,2,.500,0,0,, 1,2,3,1, 0, 0,0,0, 3
4, 2019-10-30, 29-121,PHI,, MIN, W (+22), 0, 18:43,3,7, .429, 0,1,.000,2,2,1.000, 5,6,11,1, 0, 1,2,0, 8
5, 2019-11-02, 29-124,PHI,@, POR, W (+1), 0, 24:51,2,2, 1.000, 1,1,1.000,2,2,1.000, 2,5,7,1, 3, 0,0,4, 7
6, 2019-11-04, 29-126,PHI,@, PHO, L (-5), 0, 11:39,1,4, .250, 0,0,,1,2,.500, 1,0,1,0, 0, 0,1,4, 3
7, 2019-11-06, 29-128,PHI,@, UTA, L (-2), 0, 9:18,2,2, 1.000, 0,0,,0,0,, 0,1,1,0, 0, 0,1,0, 4
8, 2019-11-08, 29-130,PHI,@, DEN, L (-3), 0, 15:28,3,3, 1.000, 0,0,,0,2,.000, 1,3,4,1, 1, 0,0,0, 6
9, 2019-11-10, 29-132,PHI,, CHO, W (+8), 0, 15:24,4,8, .500, 1,4,.250,0,0,, 1,3,4,0, 0, 0,0,1, 9
10, 2019-11-12, 29-134,PHI,, CLE, W (+1), 0, 17:45,2,6, .333, 0,2,.000,3,3,1.000, 1,0,1,2, 1, 0,1,2, 7
11, 2019-11-13, 29-135,PHI,@, ORL, L (-15), 0, 17:54,4,6, .667, 1,2,.500,1,1,1.000, 1,1,2,0, 0, 0,1,3, 10
12, 2019-11-15, 29-137,PHI,@, OKC, L (-8), 0, 17:41,1,3, .333, 0,1,.000,0,0,, 1,1,2,0, 1, 0,0,1, 2
13, 2019-11-17, 29-139,PHI,@, CLE, W (+19), 0, 16:15,5,7, .714, 3,4,.750,1,2,.500, 1,3,4,0, 0, 1,1,1, 14
14, 2019-11-20, 29-142,PHI,, NYK, W (+5), 0, 21:36,4,7, .571, 2,3,.667,1,2,.500, 2,2,4,2, 0, 1,0,0, 11
15, 2019-11-22, 29-144,PHI,, SAS, W (+11), 0, 15:21,5,6, .833, 3,4,.750,0,0,, 2,1,3,1, 0, 0,1,5, 13
16, 2019-11-23, 29-145,PHI,, MIA, W (+27), 0, 22:15,3,7, .429, 0,3,.000,0,0,, 2,1,3,2, 0, 0,1,4, 6
17, 2019-11-25, 29-147,PHI,@, TOR, L (-5), 0, 13:09,2,5, .400, 1,3,.333,0,0,, 1,1,2,0, 2, 0,0,3, 5
18, 2019-11-27, 29-149,PHI,, SAC, W (+6), 0, 11:20,0,2, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 1,0,1, 0
19, 2019-11-29, 29-151,PHI,@, NYK, W (+6), 0, 21:38,4,5, .800, 3,4,.750,9,9,1.000, 1,3,4,2, 0, 1,0,1, 20
20, 2019-11-30, 29-152,PHI,, IND, W (+3), 0, 26:40,3,7, .429, 2,3,.667,1,2,.500, 1,3,4,2, 2, 1,2,2, 9
21, 2019-12-02, 29-154,PHI,, UTA, W (+9), 0, 27:16,2,10, .200, 2,6,.333,2,3,.667, 0,5,5,0, 2, 0,0,1, 8
22, 2019-12-05, 29-157,PHI,@, WAS, L (-6), 0, 17:10,0,0, , 0,0,,2,2,1.000, 0,0,0,2, 0, 1,1,5, 2
23, 2019-12-07, 29-159,PHI,, CLE, W (+47), 0, 19:14,3,6, .500, 1,1,1.000,1,2,.500, 0,7,7,3, 2, 0,0,0, 8
24, 2019-12-08, 29-160,PHI,, TOR, W (+6), 0, 22:52,3,8, .375, 1,4,.250,4,4,1.000, 1,1,2,1, 0, 0,1,2, 11
25, 2019-12-10, 29-162,PHI,, DEN, W (+5), 0, 17:47,3,5, .600, 1,3,.333,0,0,, 1,2,3,0, 0, 0,0,2, 7
26, 2019-12-12, 29-164,PHI,@, BOS, W (+6), 0, 18:23,1,4, .250, 0,2,.000,0,0,, 0,1,1,0, 0, 0,1,2, 2
27, 2019-12-13, 29-165,PHI,, NOP, W (+7), 0, 14:35,4,6, .667, 2,3,.667,0,1,.000, 1,1,2,3, 0, 1,1,5, 10
28, 2019-12-15, 29-167,PHI,@, BRK, L (-20), 0, 19:33,1,4, .250, 1,3,.333,0,0,, 1,2,3,2, 0, 1,0,2, 3
29, 2019-12-18, 29-170,PHI,, MIA, L (-4), 0, 15:52,1,3, .333, 1,3,.333,0,0,, 0,2,2,1, 0, 0,1,2, 3
30, 2019-12-20, 29-172,PHI,, DAL, L (-19), 0, 13:44,2,7, .286, 1,5,.200,1,2,.500, 1,3,4,0, 0, 0,1,2, 6
31, 2019-12-21, 29-173,PHI,, WAS, W (+17), 0, 17:46,3,6, .500, 1,3,.333,0,0,, 2,4,6,2, 0, 0,0,2, 7
32, 2019-12-23, 29-175,PHI,@, DET, W (+16), 0, 24:01,2,7, .286, 2,4,.500,0,0,, 4,3,7,2, 0, 2,1,2, 6
33, 2019-12-25, 29-177,PHI,, MIL, W (+12), 0, 16:23,1,6, .167, 0,4,.000,0,0,, 3,4,7,1, 0, 0,1,0, 2
